run_id,question_set,question_type,model,vendor,access,n_questions,system,recall,complete,mrr,acc,faith,rel,mean_in_tok,mean_out_tok,mean_latency_ms,total_cost_usd,cost_per_100q_usd
2026-07-16_23:24:10,questions_publaynet_figures,figure,gemini-flash-lite,Google,closed,35,baseline,0.0,0.0,0.0,0.0,0.0,0.029,517.3,7.3,475.7,0.001913,0.0055
2026-07-16_23:24:10,questions_publaynet_figures,figure,gemini-flash-lite,Google,closed,35,+KG,0.0,0.0,0.0,0.0,0.0,0.086,544.9,9.7,439.8,0.002043,0.0058
2026-07-16_23:24:10,questions_publaynet_figures,figure,gemini-flash-lite,Google,closed,35,+multimodal,0.371,0.371,0.286,0.057,0.171,0.6,1601.3,26.2,685.5,0.005971,0.0171
2026-07-16_23:24:10,questions_publaynet_figures,figure,gemini-flash-lite,Google,closed,35,+both,0.371,0.371,0.286,0.086,0.086,0.286,1632.9,21.1,764.1,0.00601,0.0172
