run_id,question_set,question_type,model,vendor,access,n_questions,system,recall,complete,mrr,acc,faith,rel,mean_in_tok,mean_out_tok,mean_latency_ms,total_cost_usd,cost_per_100q_usd,n_errors,error_rate
2026-08-11_19:58:48,questions_spiqa_text,text,gemini-flash-lite,Google,closed,35,baseline,1.0,1.0,1.0,0.971,0.943,1.0,442.9,22.3,478.7,0.001862,0.0053,0,0.0
2026-08-11_19:58:48,questions_spiqa_text,text,gemini-flash-lite,Google,closed,35,+KG,1.0,1.0,1.0,0.971,0.971,1.0,518.9,26.1,540.4,0.002181,0.0062,0,0.0
2026-08-11_19:58:48,questions_spiqa_text,text,gemini-flash-lite,Google,closed,35,+multimodal,1.0,1.0,1.0,0.971,0.943,1.0,681.7,26.6,504.4,0.002759,0.0079,0,0.0
2026-08-11_19:58:48,questions_spiqa_text,text,gemini-flash-lite,Google,closed,35,+both,1.0,1.0,1.0,0.971,0.943,1.0,761.7,28.3,566.5,0.003062,0.0087,0,0.0
