run_id,question_set,question_type,model,vendor,access,n_questions,system,recall,complete,mrr,acc,faith,rel,mean_in_tok,mean_out_tok,mean_latency_ms,total_cost_usd,cost_per_100q_usd,n_errors,error_rate
2026-07-17_01:09:46,questions_publaynet_text,text,llama4-scout,Meta/DeepInfra,open,35,baseline,0.914,0.914,0.886,0.543,0.686,0.8,459.6,23.2,890.7,0.001531,0.0044,0,0.0
2026-07-17_01:09:46,questions_publaynet_text,text,llama4-scout,Meta/DeepInfra,open,35,+KG,0.914,0.914,0.886,0.6,0.571,0.829,499.6,36.5,1341.9,0.001782,0.0051,0,0.0
2026-07-17_01:09:46,questions_publaynet_text,text,llama4-scout,Meta/DeepInfra,open,35,+multimodal,0.914,0.914,0.886,0.6,0.571,0.771,628.9,38.2,1598.2,0.002162,0.0062,0,0.0
2026-07-17_01:09:46,questions_publaynet_text,text,llama4-scout,Meta/DeepInfra,open,35,+both,0.914,0.914,0.886,0.571,0.543,0.8,672.8,37.6,1363.7,0.002279,0.0065,0,0.0
