run_id,question_set,question_type,model,vendor,access,n_questions,system,recall,complete,mrr,acc,faith,rel,mean_in_tok,mean_out_tok,mean_latency_ms,total_cost_usd,cost_per_100q_usd,n_errors,error_rate
2026-08-11_14:53:56,questions_spiqa_multihop,multihop,gpt4o-mini,OpenAI,closed,30,baseline,1.0,1.0,1.0,0.767,0.833,0.9,430.3,42.3,1460.7,0.002697,0.009,0,0.0
2026-08-11_14:53:56,questions_spiqa_multihop,multihop,gpt4o-mini,OpenAI,closed,30,+KG,1.0,1.0,1.0,0.7,0.767,0.833,511.1,35.4,1296.8,0.002937,0.0098,0,0.0
2026-08-11_14:53:56,questions_spiqa_multihop,multihop,gpt4o-mini,OpenAI,closed,30,+multimodal,1.0,1.0,1.0,0.733,0.833,0.9,641.4,43.1,1326.3,0.003663,0.0122,0,0.0
2026-08-11_14:53:56,questions_spiqa_multihop,multihop,gpt4o-mini,OpenAI,closed,30,+both,1.0,1.0,1.0,0.767,0.867,0.933,726.2,45.3,1659.2,0.004084,0.0136,0,0.0
