run_id,question_set,question_type,model,vendor,access,n_questions,system,recall,complete,mrr,acc,faith,rel,mean_in_tok,mean_out_tok,mean_latency_ms,total_cost_usd,cost_per_100q_usd,n_errors,error_rate
2026-07-17_01:43:48,questions_publaynet_text,text,llama4-maverick,Meta/DeepInfra,open,35,baseline,0.914,0.914,0.886,0.657,0.571,0.857,459.6,51.1,2845.5,0.003486,0.01,0,0.0
2026-07-17_01:43:48,questions_publaynet_text,text,llama4-maverick,Meta/DeepInfra,open,35,+KG,0.914,0.914,0.886,0.714,0.543,0.857,499.6,58.6,2748.8,0.003853,0.011,0,0.0
2026-07-17_01:43:48,questions_publaynet_text,text,llama4-maverick,Meta/DeepInfra,open,35,+multimodal,0.914,0.914,0.886,0.6,0.629,0.857,628.9,59.6,2672.0,0.004554,0.013,0,0.0
2026-07-17_01:43:48,questions_publaynet_text,text,llama4-maverick,Meta/DeepInfra,open,35,+both,0.914,0.914,0.886,0.657,0.486,0.857,672.8,79.8,4087.1,0.005207,0.0149,0,0.0
