run_id,question_set,question_type,model,vendor,access,n_questions,system,recall,complete,mrr,acc,faith,rel,mean_in_tok,mean_out_tok,mean_latency_ms,total_cost_usd,cost_per_100q_usd
2026-07-16_21:12:48,questions_publaynet_text,text,gpt4o-mini,OpenAI,closed,35,baseline,0.914,0.914,0.886,0.657,0.714,0.8,457.8,22.7,919.8,0.00288,0.0082
2026-07-16_21:12:48,questions_publaynet_text,text,gpt4o-mini,OpenAI,closed,35,+KG,0.914,0.914,0.886,0.571,0.571,0.743,500.0,20.9,1084.5,0.003065,0.0088
2026-07-16_21:12:48,questions_publaynet_text,text,gpt4o-mini,OpenAI,closed,35,+multimodal,0.914,0.914,0.886,0.657,0.714,0.829,628.2,24.1,1024.3,0.003804,0.0109
2026-07-16_21:12:48,questions_publaynet_text,text,gpt4o-mini,OpenAI,closed,35,+both,0.914,0.914,0.886,0.6,0.629,0.8,674.3,22.1,984.7,0.004005,0.0114
